City,State,Agency,tech_type,Vendor,date,year
Woodstock,VA,Woodstock Police Department,Body-worn Cameras,VML Insurance Programs,12/27/2012,2012.0
Rockford,IL,Rockford Police Department,Gunshot Detection,ShotSpotter,10/06/2018,2018.0
Atlanta,GA,Atlanta Police Department,Gunshot Detection,ShotSpotter,11/16/2018,2018.0
Peoria,IL,Peoria Police Department,Gunshot Detection,ShotSpotter,12/13/2019,2019.0
Goldsboro,NC,Goldsboro Police Department,Gunshot Detection,ShotSpotter,10/23/2017,2017.0
Rochester,NY,Rochester Police Department,Gunshot Detection,ShotSpotter,01/02/2019,2019.0
Pittsburgh,PA,Pittsburgh Bureau of Police,Gunshot Detection,ShotSpotter,07/05/2013,2013.0
Newburgh,NY,Newburgh Police Department,Body-worn Cameras,WatchGuard,09/03/2015,2015.0
Tillamook,OR,Tillamook Police Department,Body-worn Cameras,,12/15/2016,2016.0
Williamston,NC,Martin County Sheriff's Office,Body-worn Cameras,Coban,04/13/2016,2016.0
Peachtree City,GA,Peachtree City Police Department,Body-worn Cameras,,06/04/2018,2018.0
Deming,NM,Luna County Sheriff's Department,Body-worn Cameras,Axon,09/15/2014,2014.0
Vail,CO,Vail Police Department,Body-worn Cameras,Coban,,
Abilene,TX,Taylor County Sheriff's Office,Body-worn Cameras,Coban,04/05/2016,2016.0
Ocala,FL,Ocala Police Department,Body-worn Cameras,,09/18/2014,2014.0
Grand Forks,ND,University of North Dakota Police Department,Body-worn Cameras,,08/26/2014,2014.0
Broomfield,CO,Broomfield Police Department,Automated License Plate Readers,,2019,2019.0
Edgewood,NM,Edgewood Police Department,Body-worn Cameras,Coban,12/12/2019,2019.0
Beaumont,TX,Jefferson County Sheriff's Office,Body-worn Cameras,,2016,2016.0
Irvington,NY,Irvington Police Department,Automated License Plate Readers,,11/04/2014,2014.0
Madison,AL,Madison Police Department,Body-worn Cameras,Coban,04/25/2018,2018.0
Greenville,NC,Greenville Police Department,Body-worn Cameras,Coban,05/26/2017,2017.0
Lubbock,TX,Texas Tech Police Department,Body-worn Cameras,Coban,09/10/2018,2018.0
Canton,OH,Canton Police Department,Gunshot Detection,Wi-fiber,8/12/2019,2019.0
Upper Saucon,PA,Upper Saucon Police Department,Automated License Plate Readers,,12/19/2016,2016.0
Burnet,TX,Burnet County Constables,Automated License Plate Readers,,2/1/2016,2016.0
Oregon,OH,Oregon Police Division,Body-worn Cameras,Coban,06/06/2016,2016.0
East Chicago,IN,East Chicago Police Department,Gunshot Detection,ShotSpotter,08/04/2014,2014.0
Bowling Green,KY,Bowling Green Police Department,Body-worn Cameras,Coban,05/19/2016,2016.0
Doral,FL,Miami-Dade Police Department,Gunshot Detection,ShotSpotter,9/22/2016,2016.0
Miami,FL,Miami Police Department,Gunshot Detection,ShotSpotter,9/29/2017,2017.0
Clarksburg,WV,Harrison County Sheriff's Office,Automated License Plate Readers,,5/12/2019,2019.0
Holbrook,AZ,Navajo County Sheriff's Office,Automated License Plate Readers,,2/20/2018,2018.0
Corpus Christi,TX,Corpus Christi Police Department,Body-worn Cameras,,05/02/2019,2019.0
Harker Heights,TX,Harker Heights Police Department,Body-worn Cameras,Coban,2017/2018,
Calumet City,IL,Calumet City Police Department,Gunshot Detection,ShotSpotter,04/03/2018,2018.0
Pittsburgh,PA,Baldwin Police Department,Automated License Plate Readers,,04/04/2015,2015.0
Quartzsite,AZ,Quartzsite Police Department,Automated License Plate Readers,,09/26/2017,2017.0
Avon,OH,Avon Police Department,Body-worn Cameras,,01/11/2019,2019.0
Goldsboro,NC,Wayne County Sheriff's Office,Automated License Plate Readers,ELSAG,04/19/2017,2017.0
Poughkeepsie,NY,Poughkeepsie Police Department,Automated License Plate Readers,ELSAG,12/06/2012,2012.0
Poughkeepsie,NY,Poughkeepsie Police Department,Automated License Plate Readers,,,
Poughkeepsie,NY,Poughkeepsie Police Department,Body-worn Cameras,Axon,01/25/2020,2020.0
Pueblo,CO,Pueblo Police Department,Automated License Plate Readers,ELSAG,,
Newburgh,NY,Newburgh Police Department,Gunshot Detection,ShotSpotter,1/5/2020,2020.0
Rockwall,TX,Rockwall Police Department,Body-worn Cameras,Getac,08/19/2019,2019.0
Jefferson,WI,Jefferson County Sheriff's Office,Body-worn Cameras,,03/05/2020,2020.0
Tallahassee,FL,Florida State University Police Department,Body-worn Cameras,Coban,12/04/2014,2014.0
Easton,PA,Easton Police Department,Body-worn Cameras,,10/13/2019,2019.0
Easton,PA,Easton Police Department,Automated License Plate Readers,,05/16/2017,2017.0
Urbana,OH,Urbana Police Division,Automated License Plate Readers,,07/02/1905,1905.0
Georgetown,SC,Georgetown County Sheriff's Office,Body-worn Cameras,Coban,01/09/2020,2020.0
Stafford,VA,Stafford County Sheriff's Office,Automated License Plate Readers,,07/27/2013,2013.0
Paterson,NJ,Paterson Police Department,Gunshot Detection,ShotSpotter,09/25/2007,2007.0
Buckhannon,WV,Buckhannon Police Department,Body-worn Cameras,,09/25/2014,2014.0
Winter Haven,FL,Polk County Sheriff's Office,Automated License Plate Readers,,12/18/18,2018.0
Bradenton,FL,Manatee County Sheriff's Office,Automated License Plate Readers,,10/1/18,2018.0
New Port Richey,FL,Pasco County Sheriff's Office,Automated License Plate Readers,,10/1/18,2018.0
Largo,FL,Pinellas County Sheriff's Office,Automated License Plate Readers,,10/1/18,2018.0
Clearwater,FL,Clearwater Police Department,Automated License Plate Readers,,10/1/18,2018.0
New Port Richey,FL,New Port Richey Police Department,Automated License Plate Readers,,10/1/18,2018.0
Sarasota,FL,Sarasota Police Department,Automated License Plate Readers,,10/1/18,2018.0
Harrisonville,MO,Cass County Sheriff's Office,Automated License Plate Readers,ELSAG,04/25/18,2018.0
Asheboro,NC,Randolph County Sheriff's Office,Automated License Plate Readers,,01/10/2019,2019.0
Seguin,TX,Guadalupe County Sheriff's Office,Automated License Plate Readers,Vigilant Solutions,1/26/16,2016.0
Seguin,TX,Guadalupe County Constables,Automated License Plate Readers,Vigilant Solutions,1/26/16,2016.0
Savannah,GA,Savannah Police Department,Gunshot Detection,,04/15/2022,2022.0
Conroe,TX,Montgomery County Sheriff's Office,Body-worn Cameras,Axon,11/20/2018,2018.0
New Caney,TX,Montgomery County Constables Precinct 4,Body-worn Cameras,Axon,02/09/2019,2019.0
Kingsville,TX,Kingsville Police Department,Body-worn Cameras,Coban,4/1/2017,2017.0
Pelham,NY,Pelham Police Department,Automated License Plate Readers,ELSAG,08/01/2012,2012.0
Buffalo,NY,Erie County Sheriff's Office,Body-worn Cameras,Axon,10/11/2017,2017.0
Saginaw,MI,Saginaw Police Department,Gunshot Detection,ShotSpotter,10/21/2015,2015.0
Westminster,CO,Westminster Police Department,Automated License Plate Readers,ELSAG,08/24/2009,2009.0
Maryland Heights,MO,Maryland Heights Police Department,Body-worn Cameras,,10/25/2019,2019.0
Bryan,TX,Brazos County Sheriff's Office,Body-worn Cameras,Panasonic,2016,2016.0
Denver,CO,Denver Police Department,Automated License Plate Readers,,10/9/18,2018.0
Bakersfield,CA,Bakersfield Police Department,Gunshot Detection,ShotSpotter,11/20/18,2018.0
Anahuac,TX,Chambers County Sheriff's Office,Body-worn Cameras,Coban,5/12/2017,2017.0
Sparks,NV,Sparks Police Department,Body-worn Cameras,,6/11/2018,2018.0
Elko,NV,Elko Police Department,Body-worn Cameras,Axon,06/27/2018,2018.0
Grand Prairie,TX,Grand Prairie Police Department,Automated License Plate Readers,Vigilant Solutions,07/15/10,2010.0
Elko,NV,Elko County Sheriff's Office,Body-worn Cameras,,05/31/2017,2017.0
Mesquite,NV,Mesquite Police Department,Automated License Plate Readers,,09/05/2018,2018.0
Gloucester,VA,Gloucester County Animal Control Department,Body-worn Cameras,,10/01/2018,2018.0
Gloucester,VA,Gloucester County Sheriff's Office,Body-worn Cameras,Axon,2016,2016.0
Frederick,CO,Frederick Police Department,Body-worn Cameras,Axon,06/13/2017,2017.0
Reno,NV,Reno Police Department,Body-worn Cameras,Axon,06/11/2018,2018.0
Minden,NV,Douglas County Sheriff's Office,Body-worn Cameras,Axon,07/10/2018,2018.0
Waxahachie,TX,Ellis County Sheriff's Office,Body-worn Cameras,Axon,12/06/2018,2018.0
Ponce Inlet,FL,Ponce Inlet Police Department,Body-worn Cameras,,04/23/2018,2018.0
Orange City,FL,Orange City Police Department,Body-worn Cameras,,4/22/2018,2018.0
Derby,KS,Derby Police Department,Body-worn Cameras,,2016,2016.0
Las Vegas,NV,Las Vegas Metropolitan Police Department,Body-worn Cameras,,03/14/2019,2019.0
Port Orange,FL,Port Orange Police Department,Body-worn Cameras,Axon,04/2019,2019.0
Charlotte,NC,Charlotte-Mecklenburg Police Department,Body-worn Cameras,Axon,02/15/2022,2022.0
Columbia,MO,Columbia Police Department,Body-worn Cameras,Axon,09/09/2017,2017.0
Brevard,NC,Transylvania County Sheriff's Office,Body-worn Cameras,,2/8/2015,2015.0
Cape May Court House,NJ,Cape May County Sheriff's Office,Body-worn Cameras,Axon,2020,2020.0
Colonial Heights,VA,Colonial Heights Police Department,Body-worn Cameras,,9/18/2014,2014.0
Ocala,FL,Ocala Police Department,Predictive Policing,Geolitica,02/27/2019,2019.0
Rocky Mount,NC,Rocky Mount Police Department,Body-worn Cameras,Axon,02/08/2017,2017.0
Rio Dell,CA,Rio Dell Police Department,Body-worn Cameras,Axon,07/27/2017,2017.0
Orlando,FL,University of Central Florida Police Department,Body-worn Cameras,Axon,11/5/2018,2018.0
Decatur,GA,DeKalb County Police Department,Body-worn Cameras,Utility,07/20/2016,2016.0
Brea,CA,Brea Police Department,Predictive Policing,Geolitica,04/12/2016,2016.0
St. Johnsbury,VT,St. Johnsbury Police Department,Body-worn Cameras,,08/27/2018,2018.0
Atlanta,GA,Atlanta Police Department,Predictive Policing,Geolitica,09/23/2013,2013.0
Norcross,GA,Norcross Police Department,Predictive Policing,Geolitica,09/23/2013,2013.0
Milford,DE,Milford Police Department,Body-worn Cameras,,02/13/2019,2019.0
Decatur,GA,DeKalb County Marshal's Office,Body-worn Cameras,,05/28/2019,2019.0
Stow,OH,Stow Police Department,Body-worn Cameras,,2016,2016.0
Woodbridge,VA,Prince William County Police Department,Body-worn Cameras,Axon,06/06/2017,2017.0
West Palm Beach,FL,Palm Beach County Sheriff's Office,Gunshot Detection,ShotSpotter,10/07/2013,2013.0
