City,State,Technology,Vendor
Woodstock,VA,Body-worn Cameras,VML Insurance Programs
Rockford,IL,Gunshot Detection,ShotSpotter
Atlanta,GA,Gunshot Detection,ShotSpotter
Peoria,IL,Gunshot Detection,ShotSpotter
Goldsboro,NC,Gunshot Detection,ShotSpotter
Rochester,NY,Gunshot Detection,ShotSpotter
Pittsburgh,PA,Gunshot Detection,ShotSpotter
Newburgh,NY,Body-worn Cameras,WatchGuard
Williamston,NC,Body-worn Cameras,Coban
Deming,NM,Body-worn Cameras,Axon
Vail,CO,Body-worn Cameras,Coban
Abilene,TX,Body-worn Cameras,Coban
Edgewood,NM,Body-worn Cameras,Coban
Madison,AL,Body-worn Cameras,Coban
Greenville,NC,Body-worn Cameras,Coban
Lubbock,TX,Body-worn Cameras,Coban
Canton,OH,Gunshot Detection,Wi-fiber
Oregon,OH,Body-worn Cameras,Coban
East Chicago,IN,Gunshot Detection,ShotSpotter
Bowling Green,KY,Body-worn Cameras,Coban
Doral,FL,Gunshot Detection,ShotSpotter
Miami,FL,Gunshot Detection,ShotSpotter
Harker Heights,TX,Body-worn Cameras,Coban
Calumet City,IL,Gunshot Detection,ShotSpotter
Goldsboro,NC,Automated License Plate Readers,ELSAG
Poughkeepsie,NY,Automated License Plate Readers,ELSAG
Poughkeepsie,NY,Body-worn Cameras,Axon
Pueblo,CO,Automated License Plate Readers,ELSAG
Newburgh,NY,Gunshot Detection,ShotSpotter
Rockwall,TX,Body-worn Cameras,Getac
Tallahassee,FL,Body-worn Cameras,Coban
Georgetown,SC,Body-worn Cameras,Coban
Paterson,NJ,Gunshot Detection,ShotSpotter
Harrisonville,MO,Automated License Plate Readers,ELSAG
Seguin,TX,Automated License Plate Readers,Vigilant Solutions
Seguin,TX,Automated License Plate Readers,Vigilant Solutions
Conroe,TX,Body-worn Cameras,Axon
New Caney,TX,Body-worn Cameras,Axon
Kingsville,TX,Body-worn Cameras,Coban
Pelham,NY,Automated License Plate Readers,ELSAG
Buffalo,NY,Body-worn Cameras,Axon
Saginaw,MI,Gunshot Detection,ShotSpotter
Westminster,CO,Automated License Plate Readers,ELSAG
Bryan,TX,Body-worn Cameras,Panasonic
Bakersfield,CA,Gunshot Detection,ShotSpotter
Anahuac,TX,Body-worn Cameras,Coban
Elko,NV,Body-worn Cameras,Axon
Grand Prairie,TX,Automated License Plate Readers,Vigilant Solutions
Gloucester,VA,Body-worn Cameras,Axon
Frederick,CO,Body-worn Cameras,Axon
Reno,NV,Body-worn Cameras,Axon
Minden,NV,Body-worn Cameras,Axon
Waxahachie,TX,Body-worn Cameras,Axon
Port Orange,FL,Body-worn Cameras,Axon
Charlotte,NC,Body-worn Cameras,Axon
Columbia,MO,Body-worn Cameras,Axon
Cape May Court House,NJ,Body-worn Cameras,Axon
Ocala,FL,Predictive Policing,Geolitica
Rocky Mount,NC,Body-worn Cameras,Axon
Rio Dell,CA,Body-worn Cameras,Axon
Orlando,FL,Body-worn Cameras,Axon
Decatur,GA,Body-worn Cameras,Utility
Brea,CA,Predictive Policing,Geolitica
