City,State,Agency,tech_type,Vendor,date,year
Bisbee,Arizona,Cochise County Sheriff's Office,Body-worn Cameras,Axon,3/26/2019,2019.0
Bisbee,Arizona,Cochise County Sheriff's Office,Camera Network,Cogniac,12/4/2017,2017.0
Bisbee,Arizona,Cochise County Sheriff's Office,Cell-site Simulators,,5/3/2018,2018.0
Bisbee,Arizona,Cochise County Sheriff's Office,Drones,Lockheed Martin,4/8/2014,2014.0
Bisbee,Arizona,Cochise County Sheriff's Office,Starchase,Starchase,6/12/2012,2012.0
Fort Huachuca,Arizona,Fort Huachuca Military Police,Camera Network,Panasonic,9/11/2013,2013.0
Huachuca City,Arizona,Huachuca City Police,Body-worn Cameras,,7/21/2017,2017.0
Sierra Vista,Arizona,Sierra Vista Police Department,Body-worn Cameras,Axon,2/1/2017,2017.0
Sierra Vista,Arizona,Sierra Vista Police Department,Drones,,4/13/2018,2018.0
Tombstone,Arizona,Tombstone Marshal's Office,Drones,,5/3/2019,2019.0
Fort Huachuca,Arizona,U.S. Army Fort Huachuca,Drones,,,
Fort Huachuca,Arizona,U.S. Customs and Border Protection,Drones,General Automatics,2015,2015.0
Huachuca City,Arizona,U.S. Customs and Border Protection,Tethered Aerostat Radar System,,2017,2017.0
Phoenix,Arizona,Arizona Department of Public Safety,Face recognition,,2018,2018.0
Phoenix,Arizona,Arizona Department of Transportation,Face recognition,,07/08/2019,2019.0
 Tohono O'odham Nation,Arizona,Drug Enforcement Administration,Automated License Plate Readers,,8/5/2012,2012.0
Marana,Arizona,Marana Police Department,Automated License Plate Readers,,04/04/2019,2019.0
Marana,Arizona,Marana Police Department,Body-worn Cameras,Axon,7/8/2016,2016.0
Oro Valley,Arizona,Oro Valley Police Department,Automated License Plate Readers,,1/15/2019,2019.0
Oro Valley,Arizona,Oro Valley Police Department,Drones,DJI,4/22/2018,2018.0
Tucson,Arizona,Pima County Sheriff's Department,Automated License Plate Readers,,5/7/2019,2019.0
Tucson,Arizona,Pima County Sheriff's Department,Drones,,2/25/2019,2019.0
Sahuarita,Arizona,Sahuarita Police Department,Body-worn Cameras,Axon,11/3/2017,2017.0
Sahuarita,Arizona,Sahuarita Police Department,Drones,,1/8/2017,2017.0
South Tucson,Arizona,South Tucson Police Department,Body-worn Cameras,Axon,8/14/2017,2017.0
Tucson,Arizona,Tucson Police Department,Artificial Intelligence,Forensic Logic ,,
Tucson,Arizona,Tucson Police Department,Body-worn Cameras,,1/14/2019,2019.0
Tucson,Arizona,Tucson Police Department,Camera Registry,,09/20/2018,2018.0
Tucson,Arizona,Tucson Police Department,Real-Time Crime Centers,,3/1/2017,2017.0
Tohono O’odham Nation,Arizona,U.S. Customs and Border Protection,Integrated Fixed Towers,Elbit Systems of America,8/25/2019,2019.0
Tucson,Arizona,U.S. Border Patrol: Tucson Secto,Mobile Surveillance Vehicle,,2017,2017.0
Tucson,Arizona,U.S. Border Patrol: Tucson Secto,Unattended Ground Sensors,,November 2017,2017.0
Nogales,Arizona,Nogales Police Department,Automated License Plate Readers,,04/06/2009,2009.0
Yuma,Arizona,City of Yuma,Smart Streetlights,Siemens and anyCOMM,2019,2019.0
Yuma,Arizona,U.S. Border Patrol: Yuma Sector,Mobile Surveillance Vehicle,,2017,2017.0
Yuma,Arizona,U.S. Border Patrol: Yuma Sector,Unattended Ground Sensors,,November 2017,2017.0
Yuma,Arizona,U.S. Customs and Border Protection,Tethered Aerostat Radar System,,2017,2017.0
Yuma,Arizona,Yuma County Sheriff's Office,Automated License Plate Readers,,12/15/2008,2008.0
Yuma,Arizona,Yuma County Sheriff's Office,Body-worn Cameras,Visual Labs Inc. ,2017,2017.0
Yuma,Arizona,Yuma Police Department,Automated License Plate Readers,,2010,2010.0
Yuma,Arizona,Yuma Police Department,Body-worn Cameras,,09/27/2016,2016.0
Calexico,California,Calexico Police Department,Automated License Plate Readers,Convergint Technologies,09/20/2017,2017.0
Calexico,California,Calexico Police Department,Body-worn Cameras,,6/30/2016,2016.0
Calexico,California,Calexico Police Department,Camera Network,Convergint Technologies,09/20/2017,2017.0
El Centro,California,El Centro Police Department,Automated License Plate Readers,,06/07/2019,2019.0
El Centro,California,El Centro Police Department,Body-worn Cameras,Vievu,8/14/2014,2014.0
El Centro,California,Imperial County Sheriff's Office,Automated License Plate Readers,,12/6/2016,2016.0
El Centro,California,Imperial County Sheriff's Office,Body-worn Cameras,,1/19/2017,2017.0
El Centro,California,Imperial County Sheriff's Office,Drones,,06/27/2019,2019.0
El Centro,California,U.S. Border Patrol: El Centro Sector,Mobile Surveillance Vehicle,,2017,2017.0
El Centro,California,U.S. Border Patrol: El Centro Sector,Remote Video Surveillance Systems,,10/15/2018,2018.0
San Marcos,California,California State University San Marcos Police Department,Automated License Plate Readers,,10/13/2018,2018.0
San Marcos,California,California State University San Marcos Police Department,Body-worn Cameras,Axon,Unknown,
Carlsbad,California,Carlsbad Police Department,Automated License Plate Readers,,8/21/2018,2018.0
Carlsbad,California,Carlsbad Police Department,Body-worn Cameras,,8/1/2016,2016.0
Carlsbad,California,Carlsbad Police Department,Ring/Neighbors,Ring,07/26/2019,2019.0
Chula Vista,California,Chula Vista Police Department,Automated License Plate Readers,,10/8/2015,2015.0
Chula Vista,California,Chula Vista Police Department,Camera Network,,,
Chula Vista,California,Chula Vista Police Department,Drones,DJI,,
Chula Vista,California,Chula Vista Police Department,Ring/Neighbors,Ring,07/25/2019,2019.0
Coronado,California,Coronado Police Department,Automated License Plate Readers,,3/24/2016,2016.0
Coronado,California,Coronado Police Department,Body-worn Cameras,,1/1/2012,2012.0
El Cajon,California,El Cajon Police Department,Automated License Plate Readers,,,
